無題
データ番号,日付,時刻,CH0,CH1
,,,Force1,Displacement1
,,,kN,mm
1,2023/05/07,10:30:00,0.0,0.0
2,2023/05/07,10:30:02,1.02,0.204
3,2023/05/07,10:31:04,2.04,0.408
4,2023/05/07,10:31:06,3.06,0.612
5,2023/05/07,10:32:08,4.08,0.816
6,2023/05/07,10:32:10,5.1,1.02
7,2023/05/07,10:33:12,6.12,1.224
8,2023/05/07,10:33:14,7.14,1.429
9,2023/05/07,10:34:16,8.16,1.633
10,2023/05/07,10:34:18,9.18,1.837
11,2023/05/07,10:35:20,10.2,2.041
12,2023/05/07,10:35:22,11.22,2.245
13,2023/05/07,10:36:24,12.24,2.449
14,2023/05/07,10:36:26,13.27,2.653
15,2023/05/07,10:37:28,14.29,2.857
16,2023/05/07,10:37:30,15.31,3.061
17,2023/05/07,10:38:32,16.33,3.265
18,2023/05/07,10:38:34,17.35,3.469
19,2023/05/07,10:39:36,18.37,3.673
20,2023/05/07,10:39:38,19.39,3.878
21,2023/05/07,10:40:40,20.41,4.082
22,2023/05/07,10:40:42,20.8,4.286
23,2023/05/07,10:41:44,21.14,4.49
24,2023/05/07,10:41:46,21.45,4.694
25,2023/05/07,10:42:48,21.71,4.898
26,2023/05/07,10:42:50,21.94,5.102
27,2023/05/07,10:43:52,22.12,5.306
28,2023/05/07,10:43:54,22.27,5.51
29,2023/05/07,10:44:56,22.37,5.714
30,2023/05/07,10:44:58,22.43,5.918
31,2023/05/07,10:45:00,22.45,6.122
32,2023/05/07,10:45:02,22.43,6.327
33,2023/05/07,10:46:04,22.37,6.531
34,2023/05/07,10:46:06,22.27,6.735
35,2023/05/07,10:47:08,22.12,6.939
36,2023/05/07,10:47:10,21.94,7.143
37,2023/05/07,10:48:12,21.71,7.347
38,2023/05/07,10:48:14,21.45,7.551
39,2023/05/07,10:49:16,21.14,7.755
40,2023/05/07,10:49:18,20.8,7.959
41,2023/05/07,10:50:20,20.41,8.163
42,2023/05/07,10:50:22,19.98,8.367
43,2023/05/07,10:51:24,19.51,8.571
44,2023/05/07,10:51:26,19.0,8.776
45,2023/05/07,10:52:28,18.45,8.98
46,2023/05/07,10:52:30,17.86,9.184
47,2023/05/07,10:53:32,17.22,9.388
48,2023/05/07,10:53:34,16.55,9.592
49,2023/05/07,10:54:36,15.84,9.796
50,2023/05/07,10:54:38,15.08,10.0
